TestName,TestOutcomeName,TestOutcome
org.apache.tools.ant.taskdefs.JarTest@testNoVersionInfoWarn,pass,1
org.apache.tools.ant.taskdefs.condition.TypeFoundTest@testMacro,pass,1
org.apache.tools.ant.taskdefs.TouchTest@test2000,error,0
org.apache.tools.ant.taskdefs.ManifestTest@testNoFile,pass,1
org.apache.tools.ant.taskdefs.SubAntTest@testMultipleTargetsOneDoesntExist_FOEtrue,failure,0
org.apache.tools.ant.taskdefs.MacroDefTest@testDouble,pass,1
org.apache.tools.ant.taskdefs.FixCrLfTest@testMacLines,error,0
org.apache.tools.zip.ExtraFieldUtilsTest@testMergeWithUnparseableData,pass,1
org.apache.tools.ant.taskdefs.MacroDefTest@testDuplicateElement,pass,1
org.apache.tools.ant.taskdefs.TypedefTest@testNoResourceOnErrorFailAll,pass,1
org.apache.tools.ant.taskdefs.ConditionTest@testOr,pass,1
org.apache.tools.ant.taskdefs.FixCrLfTest@testNoOverwrite,error,0
org.apache.tools.ant.taskdefs.JavacTest@testSourceWithDefault,pass,1
org.apache.tools.ant.util.StringUtilsTest@testEndsWithJDKPerf,pass,1
org.apache.tools.ant.taskdefs.ConditionTest@testFilesmatchOddsizes,failure,0
org.apache.tools.ant.taskdefs.optional.EchoPropertiesTest@testReadBadFileFail,pass,1
org.apache.tools.ant.types.FileListTest@testNested,pass,1
org.apache.tools.ant.types.DirSetTest@testEmptyElementIfIsReference,pass,1
org.apache.tools.ant.DirectoryScannerTest@testAllowSymlinks,pass,1
org.apache.tools.ant.DirectoryScannerTest@testFullPathMatchesCaseSensitive,pass,1
org.apache.tools.ant.taskdefs.SyncTest@testCopyAndRemoveWithFileList,pass,1
org.apache.tools.zip.ZipLongTest@testClone,pass,1
org.apache.tools.ant.types.AddTypeTest@testConditionType,pass,1
org.apache.tools.ant.taskdefs.JarTest@testRecreateWithUpdateAdditionalFiles,pass,1
org.apache.tools.ant.taskdefs.CVSPassTest@testNoPassword,pass,1
org.apache.tools.ant.util.GlobPatternMapperTest@testPrefixOnly,pass,1
org.apache.tools.ant.taskdefs.WhichResourceTest@testClassname,pass,1
org.apache.tools.ant.util.StringUtilsTest@testEndsWithEmptyString,pass,1
org.apache.tools.zip.AsiExtraFieldTest@testModes,pass,1
org.apache.tools.ant.types.RedirectorElementTest@test1,pass,1
org.apache.tools.ant.types.RedirectorElementTest@test2,pass,1
org.apache.tools.ant.types.RedirectorElementTest@test3,pass,1
org.apache.tools.ant.types.RedirectorElementTest@test4,pass,1
org.apache.tools.ant.taskdefs.optional.EchoPropertiesTest@testWithRegex,pass,1
org.apache.tools.ant.taskdefs.TouchTest@testFileset,error,0
org.apache.tools.ant.taskdefs.optional.JspcTest@testKeyword,failure,0
org.apache.tools.ant.taskdefs.JavaTest@testResultPropertyZero,error,0
org.apache.tools.ant.types.selectors.SignedSelectorTest@testSelectSigned,error,0
org.apache.tools.ant.LoaderRefTest@testBadRef,failure,0
org.apache.tools.ant.filters.TokenFilterTest@testFilterReplaceRegex,pass,1
org.apache.tools.ant.UnknownElementTest@testMaybeConfigure,pass,1
org.apache.tools.ant.util.VectorSetTest@testAddElement,pass,1
org.apache.tools.ant.taskdefs.ManifestClassPathTest@testInternationalGerman,error,0
org.apache.tools.ant.types.selectors.PresentSelectorTest@testSelectionBehaviour,error,0
org.apache.tools.ant.taskdefs.AntTest@testOverrideWinsNoInheritAll,error,0
org.apache.tools.ant.types.TarFileSetTest@testEmptyElementIfIsReference,pass,1
org.apache.tools.zip.ExtraFieldUtilsTest@testParse,pass,1
org.apache.tools.ant.types.selectors.SizeSelectorTest@testParameterParsingLowerCaseTurkish,pass,1
org.apache.tools.ant.taskdefs.ManifestClassPathTest@testInternationalHebrew,pass,1
org.apache.tools.zip.ExtraFieldUtilsTest@testParseWithSkip,pass,1
org.apache.tools.ant.taskdefs.ConditionTest@testFilesmatchMatch,pass,1
org.apache.tools.ant.types.PathTest@testAppending,pass,1
org.apache.tools.ant.util.StringUtilsTest@testEndsWithBothEmpty,pass,1
org.apache.tools.ant.types.resources.ResourceListTest@testCircularReference,pass,1
org.apache.tools.ant.taskdefs.ExecuteJavaTest@testNoTimeOutForked,pass,1
org.apache.tools.ant.taskdefs.optional.RpmTest@testShouldNotThrowExceptionWhenRpmFails,pass,1
org.apache.tools.ant.taskdefs.JarTest@testManifestStaysIntact,pass,1
org.apache.tools.ant.taskdefs.RmicAdvancedTest@testMagicPropertyIsEmptyString,error,0
org.apache.tools.ant.taskdefs.RecorderTest@testAppend,error,0
org.apache.tools.ant.taskdefs.MoveTest@testCompleteDirectoryMove2,pass,1
org.apache.tools.ant.util.FileUtilsTest@testSetLastModified,pass,1
org.apache.tools.ant.taskdefs.MacroDefTest@testEscape,pass,1
org.apache.tools.ant.taskdefs.optional.ANTLRTest@testNoRecompile,error,0
